"","Plot","Plant_sp","Plant_id","Mean_fruit_set","Mean_N_seeds","N_flowers","N_seeds_plant","N_seeds_sc","Mean_N_seeds_sc","N_flowers_sc"
"1","A","CLIB","366",0.624957264957265,14.5,442,4005.35111111111,0.366448441883551,0.612403100775194,0.531553398058252
"2","A","CLIB","367",0.78,16,201,2508.48,0.228773210207374,0.728682170542636,0.239077669902913
"3","A","CLIB","368",0.873636363636364,16.8,71,1042.07345454545,0.093899967362132,0.790697674418605,0.0813106796116505
"4","A","CLIB","369",0.761904761904762,15.6,409,4861.25714285714,0.445170691474034,0.697674418604651,0.491504854368932
"5","A","CLIB","370",0.773076923076923,17.9,212,2933.67230769231,0.26788041792482,0.875968992248062,0.252427184466019
"6","A","CLIB","371",0.842857142857143,9.2,630,4885.2,0.447372843937038,0.201550387596899,0.759708737864078
"7","A","CLIB","372",0.92,16.2,33,491.832,0.0432913216543862,0.744186046511628,0.0351941747572816
"8","A","CLIB","373",0.863095238095238,12.7,159,1742.84821428571,0.158353965227347,0.472868217054264,0.188106796116505
"9","A","CLIB","374",0.775277777777778,10.7,153,1269.20725,0.11479067577288,0.317829457364341,0.180825242718447
"10","A","CLIB","375",0.854191919191919,16,252,3444.10181818182,0.314827346480905,0.728682170542636,0.300970873786408
"11","A","CLIB","376",0.783333333333333,17.8,345,4810.45,0.440497687157403,0.868217054263566,0.413834951456311
"12","A","CLIB","377",0.941666666666667,16.6,29,453.318333333333,0.0397490140090095,0.775193798449613,0.0303398058252427
"13","A","CLIB","378",0.608888888888889,15.3,14,130.424,0.0100506974214222,0.674418604651163,0.0121359223300971
"14","A","CLIB","379",0.77,13,40,400.4,0.034881832227289,0.496124031007752,0.0436893203883495
"15","A","CLIB","380",0.576915113871636,13.3,8,61.383768115942,0.00370069851432924,0.51937984496124,0.00485436893203883
"16","A","HCOM","106",0.477961812744421,3.4,827,1343.93302507476,0.409905405015556,0.470588235294118,0.452714045886961
"17","A","HCOM","107",0.321428571428571,2.4,506,390.342857142857,0.118693732832958,0.229946524064171,0.273083379966424
"18","A","HCOM","108",0.208419913419913,2.22222222222222,116,53.7260221260221,0.0158961634928069,0.18716577540107,0.0548405148293229
"19","A","HCOM","109",0.293030303030303,2.4,190,133.621818181818,0.0402951025257328,0.229946524064171,0.0962506994963626
"20","A","HCOM","110",0.326776878092668,2.7,377,332.626184210526,0.101067954587056,0.302139037433155,0.200895355344152
"21","A","HCOM","111",0.378205128205128,3.9,170,250.75,0.0760642356754107,0.590909090909091,0.08505875769446
"22","A","HCOM","112",0.184275592828224,3.5,193,124.478162955466,0.0375027717972165,0.494652406417112,0.097929490766648
"23","A","HCOM","113",0.351701680672269,3.2,1066,1199.72477310924,0.365866437742555,0.422459893048128,0.586457750419698
"24","A","HCOM","114",0.506230158730159,3.3,253,422.65155952381,0.128560310281855,0.446524064171123,0.131505316172356
"25","A","HCOM","115",0.28167701863354,2.9,601,490.934875776398,0.149412977787031,0.350267379679144,0.326245103525462
"26","A","HCOM","116",0.191098901098901,2.8,323,172.829846153846,0.0522686271830588,0.32620320855615,0.170677112479015
"27","A","HCOM","117",0.380165501165501,3.7,1403,1973.47713310023,0.602158427934611,0.542780748663102,0.775041969781757
"28","A","HCOM","118",0.382636528625639,3.7,481,680.97822999505,0.207449275591179,0.542780748663102,0.259093452714046
"29","A","HCOM","119",0.33250773993808,2.4,183,146.037399380805,0.0440866287847724,0.229946524064171,0.0923335198656967
"30","A","HCOM","120",0.467320914379738,3.5,240,392.54956807898,0.1193676281848,0.494652406417112,0.124230554001119
"31","A","HHAL","471",0.561169116065668,19.1,885,9485.72215341602,0.252461223450254,0.304535637149028,0.438492063492063
"32","A","HHAL","472",0.629332770428746,21.6,2017,27418.2666758233,0.730405300250044,0.3585313174946,1
"33","A","HHAL","473",0.43338028250819,20.6,540,4820.9222626211,0.128133441942398,0.336933045356372,0.267361111111111
