ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;N_fruit;N_seeds;Weight;predated_seeds;Antagonist_collected;Notes;Num_fruit;Num_seeds;Seeds_depredadas;Promedio
23;A;HCOM;Halimium_commutatum;113;6;1;;;;;;;;
23;A;HCOM;Halimium_commutatum;113;7;3;;;;;;;;
23;A;HCOM;Halimium_commutatum;113;8;4;;;;;;;;
23;A;HCOM;Halimium_commutatum;113;9;3;;;;;;;;
23;A;HCOM;Halimium_commutatum;113;10;2;;;;;;;;
24;A;HCOM;Halimium_commutatum;114;1;3;;;;;;;;
24;A;HCOM;Halimium_commutatum;114;2;3;;;;;;;;
24;A;HCOM;Halimium_commutatum;114;3;3;;;;;;;;
24;A;HCOM;Halimium_commutatum;114;4;4;;;;;;;;
24;A;HCOM;Halimium_commutatum;114;5;4;;;;;;;;
24;A;HCOM;Halimium_commutatum;114;6;3;;;;;;;;
24;A;HCOM;Halimium_commutatum;114;7;4;;;;Blanquecinas hongos;;;;
24;A;HCOM;Halimium_commutatum;114;8;3;;;;;;;;
24;A;HCOM;Halimium_commutatum;114;9;3;;;;;;;;
24;A;HCOM;Halimium_commutatum;114;10;3;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;1;3;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;2;3;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;3;3;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;4;4;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;5;2;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;6;2;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;7;4;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;8;3;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;9;3;;;;;;;;
25;A;HCOM;Halimium_commutatum;115;10;2;;;;;;;;
26;A;HCOM;Halimium_commutatum;116;1;3;;;;;;;;
26;A;HCOM;Halimium_commutatum;116;2;2;;;;;;;;
26;A;HCOM;Halimium_commutatum;116;3;2;;;;Blancas con hongos;;;;
26;A;HCOM;Halimium_commutatum;116;4;3;;;;Blancas con hongos;;;;
26;A;HCOM;Halimium_commutatum;116;5;4;;;;;;;;
26;A;HCOM;Halimium_commutatum;116;6;3;;;;;;;;
26;A;HCOM;Halimium_commutatum;116;7;3;;;;;;;;
26;A;HCOM;Halimium_commutatum;116;8;3;;;;;;;;
26;A;HCOM;Halimium_commutatum;116;9;3;;;;Blanquecinas;;;;
26;A;HCOM;Halimium_commutatum;116;10;2;;2;;;;;;
27;A;HCOM;Halimium_commutatum;117;1;3;;;;;;;;
