Plant_id;X;Y
501;721816.419;4098793.626
502;721810.563;4098796.474
503;721807.2;4098796.577
504;721803.543;4098789.033
505;721804.243;4098793.902
506;721826.031;4098798.266
507;721814.072;4098786.527
508;721822.678;4098789.766
509;721819.628;4098780.816
510;721811.984;4098783.159
511;721823.7;4098792.899
512;721813.699;4098790.503
513;721818.15;4098789.864
514;721827.74;4098788.095
515;721822.511;4098783.211
586;721804.41;4098783.753
587;721804.932;4098784.968
588;721810.762;4098786.423
589;721808.793;4098788.819
590;721813.488;4098780.38
641;721823.23;4098790.363
642;721814.4;4098793.492
643;721817.537;4098793.579
644;721823.068;4098791.005
645;721811.953;4098790.165
646;721814.956;4098786.447
647;721814.081;4098781.839
648;721817.799;4098779.702
649;721814.32;4098781.307
650;721808.285;4098789.907
651;721809.211;4098789.451
652;721801.832;4098782.51
653;721801.113;4098781.57
654;721813.788;4098788.508
655;721828.005;4098786.624
447;721802.999;4098622.763
448;721801.929;4098623.652
446;721801.702;4098622.577
55;721797.27;4098624.649
314;721796.19;4098621.601
667;721797.446;4098620.931
51;721797.62;4098620.645
521;721799.655;4098619.241
154;721794.998;4098619.411
449;721796.376;4098618.853
525;721798.967;4098614.016
664;721797.61;4098615.747
438;721797.616;4098616.538
663;721795.976;4098616.332
320;721795.993;4098616.052
523;721794.756;4098616.483
169;721795.715;4098613.887
153;721793.826;4098613.718
313;721792.974;4098615.024
402;721792.334;4098615.8
529;721791.701;4098614.085
164;721789.811;4098614.539
403;721789.905;4098613.378
168;721789.09;4098614.557
597;721788.739;4098612.593
311;721788.556;4098610.577
666;721789.489;4098609.845
161;721787.946;4098608.923
598;721787.013;4098610.757
527;721787.098;4098611.956
599;721786.92;4098605.283
53;721781.752;4098604.155
445;721782.303;4098604.307
665;721784.568;4098609.102
439;721785.304;4098615.354
315;721788.054;4098616.059
526;721788.193;4098617.435
596;721788.858;4098617.556
312;721792.629;4098617.636
167;721789.821;4098617.353
163;721790.302;4098618.857
152;721788.735;4098618.779
522;721791.043;4098620.828
166;721792.384;4098621.006
151;721791.662;4098621.863
396;721793.718;4098623.821
50;721793.3;4098625.574
656;721791.161;4098625.67
170;721791.316;4098627.236
319;721791.312;4098626.497
400;721791.481;4098628.298
155;721791.314;4098629.784
516;721792.046;4098632.334
674;721790.44;4098634.499
520;721787.027;4098629.916
49;721787.256;4098630.59
659;721786.31;4098630.746
657;721788.11;4098626.799
162;721786.433;4098627.213
56;721787.008;4098626.279
173;721785.811;4098625.687
658;721785.677;4098625.878
591;721785.172;4098627.951
660;721783.817;4098627.276
399;721782.473;4098627.523
309;721782.833;4098628.437
518;721782.648;4098629.599
48;721782.223;4098630.024
156;721780.855;4098630.396
398;721780.501;4098634.885
675;721780.748;4098634.712
408;721780.168;4098631.214
59;721779.651;4098632.236
673;721777.947;4098630.082
517;721777.814;4098629.544
60;721780.67;4098627.815
175;721779.1;4098627.343
172;721776.526;4098626.716
165;721775.803;4098627.043
519;721774.776;4098625.06
306;721774.736;4098625.483
47;721774.687;4098623.285
401;721777.387;4098623.958
159;721777.078;4098622.885
46;721778.471;4098623.243
174;721777.718;4098622.134
180;721775.889;4098622.145
179;721775.778;4098618.991
160;721774.524;4098620.535
317;721771.649;4098621.11
670;721772.264;4098622.617
669;721773.81;4098617.442
54;721773.961;4098617.34
442;721774.46;4098616.71
443;721774.679;4098616.212
600;721774.733;4098615.926
444;721774.495;4098615.767
410;721775.326;4098614.837
407;721773.095;4098612.788
178;721778.539;4098613.825
52;721781.632;4098614.604
530;721780.987;4098615.489
316;721781.703;4098616.409
171;721779.305;4098616.939
157;721779.305;4098618.179
592;721781.959;4098618.399
593;721782.947;4098618.244
406;721783.257;4098619.671
57;721783.711;4098620.948
158;721783.982;4098619.617
308;721784.752;4098619.773
404;721781.829;4098621.647
307;721782.235;4098622.241
409;721785.53;4098624.025
310;721785.312;4098624.257
524;721788.747;4098624.497
397;721788.4;4098623.171
671;721788.64;4098622.05
672;721784.417;4098620.517
528;721784.74;4098621.035
661;721785.592;4098621.987
594;721785.619;4098617.035
58;721786.077;4098618.03
176;721786.756;4098616.86
177;721786.242;4098620.396
668;721786.255;4098619.675
595;721786.364;4098619.842
662;721787.287;4098620.031
440;721786.778;4098620.069
405;721789.109;4098620.643
441;721788.717;4098621.297
318;721788.546;4098621.335
457;721742.207;4098332.464
458;721734.541;4098333.498
459;721732.714;4098331.937
451;721731.249;4098330.623
452;721731.647;4098329.999
450;721730.242;4098329.185
456;721734.703;4098327.529
455;721733.908;4098327.897
453;721732.412;4098327.981
454;721733.156;4098328.873
417;721719.971;4098347.775
424;721722.865;4098346.454
421;721720.785;4098352.201
422;721725.43;4098353.083
414;721722.035;4098342.855
419;721716.257;4098341.505
418;721724.914;4098342.494
415;721724.539;4098328.164
425;721717.999;4098324.426
416;721725.172;4098322.95
412;721726.532;4098324.752
423;721727.867;4098328.731
413;721729.914;4098325.329
420;721733.109;4098322.289
411;721732.842;4098325.978
365_4;721739.596;4098348.841
365_3;721740.344;4098347.29
363;721734.643;4098342.489
365;721721.085;4098337.954
364;721722.24;4098337.908
361;721722.431;4098335.903
362;721723.059;4098334.739
365_1;721726.142;4098337.855
365_2;721728.01;4098338.628
181;721722;4098347.268
183;721728.143;4098347.38
188;721733.253;4098340.982
184;721721.429;4098340.243
185;721720.18;4098334.585
192;721723.639;4098336.038
182;721725.474;4098340.628
191;721728.526;4098343.204
186;721731.682;4098336.39
195;721737.487;4098339.491
194;721730.169;4098334.598
190;721727.048;4098333.017
187;721727.637;4098330.178
193;721733.065;4098326.945
189;721732.714;4098330.767
545;721720.365;4098346.027
543;721721.942;4098350.289
542;721727.028;4098349.686
544;721732.532;4098348.387
537;721735.608;4098344.725
531;721729.022;4098346.504
534;721722.013;4098339.526
535;721717.684;4098339.158
533;721718.629;4098334.807
541;721726.949;4098341.839
536;721734.573;4098334.542
532;721720.006;4098331.371
539;721724.662;4098333.137
538;721730.049;4098328.771
540;721735.524;4098329.253
324;721734.398;4098342.686
329;721727.544;4098344.257
328;721724.751;4098344.714
330;721719.571;4098337.941
333;721724.759;4098339.446
326;721728.29;4098340.418
334;721729.037;4098337.395
331;721737.97;4098336.631
323;721735.588;4098333.276
335;721731.618;4098334.823
325;721727.681;4098336.222
327;721720.911;4098332.436
322;721724.744;4098326.033
332;721730.356;4098323.313
321;721734.902;4098328.208
77;721734.685;4098347.436
81;721735.537;4098341.686
84;721719.597;4098343.667
76;721720.593;4098341.96
79;721714.925;4098343.178
78;721715.907;4098337.031
82;721725.126;4098336.882
80;721728.821;4098340.029
86;721721.506;4098331.444
87;721727.413;4098334.868
85;721724.988;4098331.002
89;721719.318;4098328.094
88;721725.41;4098322.138
83;721725.32;4098326.54
90;721740.256;4098323.944
355;721723.41;4098349.696
353;721732.957;4098340.489
354;721721.633;4098345.079
358;721718.564;4098336.123
352;721728.55;4098338.909
360;721720.929;4098324.637
351;721732.745;4098332.157
359;721728.546;4098323.776
356;721734.189;4098326.85
357;721739.899;4098327.319
608;721723.109;4098327.73
604;721721.646;4098326.963
601;721721.75;4098325.465
605;721722.221;4098324.21
610;721722.75;4098322.335
606;721721.133;4098322.328
607;721723.421;4098320.97
602;721724.379;4098326.839
609;721725.952;4098326.223
603;721725.295;4098325.132
68;721723.802;4098349.277
65;721732.045;4098345.273
70;721726.803;4098345.461
69;721721.436;4098344.415
75;721719.56;4098337.392
73;721724.491;4098336.864
74;721727.893;4098340.56
62;721729.201;4098337.745
63;721732.963;4098336.638
66;721718.878;4098331.064
67;721723.91;4098334.151
61;721725.609;4098329.459
72;721723.209;4098326
71;721729.239;4098331.854
64;721734.276;4098329.216
432;721710.574;4098173.368
217;721714.711;4098174.4
201;721711.746;4098177.938
95;721713.91;4098177.277
225;721712.135;4098180.448
552;721709.605;4098182.591
220;721711.103;4098184.205
99;721713.24;4098186.945
617;721713.401;4098189.741
549;721710.418;4098191.569
433;721712.751;4098192.975
565;721711.87;4098195.293
347;721713.853;4098193.663
548;721715.191;4098193.54
96;721716.776;4098191.653
465;721717.362;4098192.571
196;721714.719;4098190.737
212;721716.41;4098190.985
464;721716.732;4098190.109
550;721716.988;4098188.841
463;721717.592;4098191.064
547;721718.633;4098191.81
687;721719.86;4098193.938
468;721718.058;4098190.851
197;721719.68;4098188.425
210;721716.846;4098183.757
97;721717.271;4098184.358
558;721719.403;4098183.454
208;721719.531;4098182.212
426;721719.887;4098181.436
213;721722.038;4098182.445
102;721719.776;4098180.772
616;721716.598;4098182.387
551;721716.493;4098180.311
221;721716.574;4098179.06
349;721718.93;4098178.897
625;721719.924;4098178.47
462;721720.682;4098177.957
205;721722.164;4098178.493
105;721722.898;4098178.75
546;721723.7;4098179.805
611;721726.05;4098180.528
555;721716.551;4098175.443
203;721718.639;4098174.563
339;721717.303;4098172.714
104;721715.233;4098168.784
92;721720.341;4098169.968
206;721721.648;4098170.598
618;721722.546;4098172.026
337;721722.172;4098175.519
218;721722.642;4098176.79
621;721724.251;4098176.554
222;721725.009;4098175.913
561;721724.901;4098174.691
620;721725.837;4098175.473
219;721724.272;4098173.359
623;721723.893;4098168.969
94;721726.088;4098169.526
338;721726.817;4098170.238
204;721725.759;4098172.666
624;721728.001;4098171.287
103;721726.587;4098173.095
554;721727.747;4098175.194
553;721725.951;4098180.133
350;721725.651;4098179.917
346;721726.791;4098178.019
461;721726.651;4098178.113
460;721725.995;4098178.468
562;721728.222;4098179.247
202;721727.657;4098180.189
429;721728.027;4098180.742
198;721724.362;4098184.387
341;721726.467;4098185.145
556;721725.464;4098186.037
200;721725.715;4098187.448
615;721727.848;4098186.278
343;721728.46;4098187.176
428;721729.055;4098187.508
211;721720.926;4098192.984
344;721720.156;4098191.899
X;721722.121;4098194.22
209;721721.696;4098190.015
430;721722.419;4098190.22
560;721723.742;4098190.313
348;721724.162;4098190.82
686;721725.328;4098189.951
100;721724.635;4098190.902
215;721726.28;4098189.651
427;721727.079;4098189.307
564;721727.441;4098190.911
557;721728.181;4098188.87
98;721729.869;4098189.342
563;721731.613;4098186.421
101;721728.607;4098183.493
612;721730.321;4098181.318
199;721730.409;4098182.275
559;721731.505;4098182.799
224;721731.123;4098184.823
434;721731.835;4098184.409
614;721732.674;4098184.823
345;721733.117;4098183.989
467;721733.808;4098186.625
223;721733.348;4098181.464
214;721728.817;4098179.662
336;721729.458;4098177.674
93;721729.657;4098179.435
435;721730.689;4098178.933
342;721730.566;4098180.059
613;721732.065;4098178.604
622;721733.409;4098176.761
207;721731.377;4098176.881
340;721729.747;4098174.365
216;721729.157;4098175.712
431;721731.728;4098174.505
619;721732.649;4098173.787
91;721732.177;4098170.72
466;721732.521;4098178.785
