ID;Plot;Plant_sp;Plant_sp_complete;Plant_id;N_fruit;N_seeds;Weight;N_predated_seeds;Antagonist_collected;Notes
;;;;;8;1;;;;
;;;;;9;2;;;;
;;;;;10;2;;;;
156;B;LPED;Lavandula_pedunculata;279;1;4;;;;
;;;;;2;3;;;;
;;;;;3;2;;;;
;;;;;4;3;;;;
;;;;;5;4;;;;
;;;;;6;2;;;;
;;;;;7;3;;;;
;;;;;8;2;;;;
;;;;;9;3;;;;
;;;;;10;3;;;;
157;B;LPED;Lavandula_pedunculata;280;1;3;;;;
;;;;;2;1;;;;
;;;;;3;1;;;;
;;;;;4;4;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;3;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;2;;;;
158;B;LPED;Lavandula_pedunculata;281;1;3;;;;
;;;;;2;3;;;;
;;;;;3;2;;;;
;;;;;4;1;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;3;;;;
;;;;;10;4;;;;
159;B;LPED;Lavandula_pedunculata;282;1;3;;;;
;;;;;2;1;;;;
;;;;;3;2;;;;
;;;;;4;2;;;;
;;;;;5;3;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;2;;;;
;;;;;10;2;;;;
160;B;LPED;Lavandula_pedunculata;283;1;1;0.162;;;
;;;;;2;2;0.17;;;
;;;;;3;1;0.175;;;
;;;;;4;1;0.107;;;
;;;;;5;1;0.132;;;
;;;;;6;1;;;;
;;;;;7;1;;;;
;;;;;8;1;;;;
;;;;;9;2;;;;
;;;;;10;3;;;;
161;B;LPED;Lavandula_pedunculata;284;1;3;;;;
;;;;;2;2;;;;
;;;;;3;1;;;;
;;;;;4;3;;;;
;;;;;5;2;;;;
;;;;;6;1;;;;
;;;;;7;3;;;;
;;;;;8;1;;;;
;;;;;9;3;;;;
;;;;;10;1;;;;
162;B;LPED;Lavandula_pedunculata;285;1;4;;;;
;;;;;2;2;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;2;;;;
;;;;;6;1;;;;
;;;;;7;1;;;;
;;;;;8;4;;;;
;;;;;9;2;;;;
;;;;;10;1;;;;
163;B;LPED;Lavandula_pedunculata;286;1;4;;;;
;;;;;2;2;;;;
;;;;;3;1;;;;
;;;;;4;2;;;;
;;;;;5;1;;;;
;;;;;6;2;;;;
;;;;;7;1;;;;
;;;;;8;4;;;;
;;;;;9;1;;;;
;;;;;10;2;;;;
164;B;LPED;Lavandula_pedunculata;287;1;1;;;;
;;;;;2;1;;;;
;;;;;3;3;;;;
;;;;;4;2;;;;
;;;;;5;1;;;;
;;;;;6;2;;;;
;;;;;7;4;;;;
;;;;;8;1;;;;
;;;;;9;3;;;;
;;;;;10;3;;;;
165;B;LPED;Lavandula_pedunculata;288;1;2;;;;
;;;;;2;1;;;;
;;;;;3;3;;;;
;;;;;4;3;;;;
;;;;;5;3;;;;
;;;;;6;3;;;;
;;;;;7;4;;;;
;;;;;8;2;;;;
;;;;;9;2;;;;
;;;;;10;4;;;;
166;B;LPED;Lavandula_pedunculata;289;1;2;;;;
;;;;;2;1;;;;
;;;;;3;2;;;;
;;;;;4;1;;;;
;;;;;5;4;;;;
;;;;;6;3;;;;
;;;;;7;1;;;;
;;;;;8;3;;;;
;;;;;9;3;;;;
;;;;;10;2;;;;
167;B;LPED;Lavandula_pedunculata;290;1;1;;;;
;;;;;2;1;;;;
;;;;;3;4;;;;
;;;;;4;2;;;;
;;;;;5;4;;;;
;;;;;6;1;;;;
;;;;;7;3;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;3;;;;
168;B;CLIB;Cistus_libanotis;381;1;16;;;;
;;;;;2;18;;;;
;;;;;3;15;;;;
;;;;;4;10;;;;
;;;;;5;8;;;;
;;;;;6;15;;;;
;;;;;7;13;;;;
;;;;;8;14;;;;
;;;;;9;9;;;;
;;;;;10;6;;;;
169;B;CLIB;Cistus_libanotis;382;1;9;;;;
;;;;;2;22;;;;
;;;;;3;20;;;;
;;;;;4;17;;;;
;;;;;5;15;;;;
;;;;;6;17;;;;
;;;;;7;11;;;;
;;;;;8;12;;;;
;;;;;9;16;;;;
;;;;;10;12;;;;
170;B;CLIB;Cistus_libanotis;383;1;14;;;;
;;;;;2;24;;;;
;;;;;3;15;;;;
;;;;;4;18;;;;
;;;;;5;12;;;;
;;;;;6;14;;;;
;;;;;7;19;;;;
;;;;;8;17;;;;
;;;;;9;13;;;;
;;;;;10;13;;;;
171;B;CLIB;Cistus_libanotis;384;1;16;;;;
;;;;;2;13;;;;
;;;;;3;7;;;;
;;;;;4;18;;;;
;;;;;5;10;;;;
;;;;;6;7;;;;
;;;;;7;15;;;;
;;;;;8;6;;;;
;;;;;9;5;;;;
;;;;;10;3;;;;
172;B;CLIB;Cistus_libanotis;385;1;12;;;;
;;;;;2;12;;;;
;;;;;3;11;;;;
;;;;;4;8;;;;
;;;;;5;14;;;;
;;;;;6;11;;;;
;;;;;7;14;;;;
;;;;;8;10;;;;
;;;;;9;8;;;;
;;;;;10;13;;;;
173;B;CLIB;Cistus_libanotis;386;1;16;;;;
;;;;;2;12;;;;
;;;;;3;14;;;;
;;;;;4;18;;;;
;;;;;5;10;;;;
;;;;;6;13;;;;
;;;;;7;11;;;;
;;;;;8;14;;;;
;;;;;9;7;;;;
;;;;;10;13;;;;
174;B;CLIB;Cistus_libanotis;387;1;20;;;;
;;;;;2;24;;;;
;;;;;3;21;;;;
;;;;;4;20;;;;
;;;;;5;15;;;;
;;;;;6;20;;;;
;;;;;7;25;;;;
;;;;;8;18;;;;
;;;;;9;17;;;;
;;;;;10;15;;;;
175;B;CLIB;Cistus_libanotis;388;1;17;;;;
;;;;;2;16;;;;
;;;;;3;13;;;;
;;;;;4;22;;;;
;;;;;5;11;;;;
;;;;;6;12;;;;
;;;;;7;12;;;;
;;;;;8;15;;;;
;;;;;9;8;;;;
;;;;;10;14;;;;
176;B;CLIB;Cistus_libanotis;389;1;10;;;;
;;;;;2;11;;;;
;;;;;3;12;;;;
;;;;;4;13;;;;
;;;;;5;17;;;;
;;;;;6;12;;;;
;;;;;7;5;;;;
;;;;;8;7;;;;
;;;;;9;6;;;;
;;;;;10;5;;;;
177;B;CLIB;Cistus_libanotis;390;1;14;;;;
;;;;;2;13;;;;
;;;;;3;20;;;;
;;;;;4;17;;;;
;;;;;5;17;;;;
;;;;;6;14;;;;
;;;;;7;16;;;;
;;;;;8;12;;;;
;;;;;9;17;;;;
;;;;;10;19;;;;
178;B;CLIB;Cistus_libanotis;391;1;14;;;;
;;;;;2;8;;;;
;;;;;3;18;;;;
;;;;;4;13;;;;
;;;;;5;10;;;;
;;;;;6;12;;;;
;;;;;7;12;;;;
;;;;;8;17;;;;
;;;;;9;13;;;;
;;;;;10;13;;;;
179;B;CLIB;Cistus_libanotis;392;1;17;;;;
;;;;;2;15;;;;
;;;;;3;21;;;;
;;;;;4;13;;;;
;;;;;5;15;;;;
;;;;;6;13;;;;
;;;;;7;14;;;;
;;;;;8;12;;;;
;;;;;9;11;;;;
;;;;;10;9;;;;
180;B;CLIB;Cistus_libanotis;393;1;20;;;;
;;;;;2;12;;;;
;;;;;3;12;;;;
;;;;;4;15;;;;
;;;;;5;23;;;;
;;;;;6;15;;;;
;;;;;7;12;;;;
;;;;;8;19;;;;
;;;;;9;17;;;;
;;;;;10;18;;;;
181;B;CLIB;Cistus_libanotis;394;1;12;;;;
;;;;;2;14;;;;
;;;;;3;7;;;;
;;;;;4;14;;;;
;;;;;5;11;;;;
;;;;;6;15;;;;
;;;;;7;15;;;;
;;;;;8;13;;;;
;;;;;9;11;;;;
;;;;;10;14;;;;
182;B;CSAL;Cistus_salviifolius;Z;;;;;;
183;B;CLIB;Cistus_libanotis;395;1;18;;;;
;;;;;2;8;;;;
;;;;;3;9;;;;
;;;;;4;11;;;;
;;;;;5;8;;;;
;;;;;6;12;;;;
;;;;;7;12;;;;
;;;;;8;11;;;;
;;;;;9;12;;;;
;;;;;10;18;;;;
184;B;HHAL;Halimium_halimifolium;486;1;30;;;;
;;;;;2;44;;;;
;;;;;3;36;;;;
;;;;;4;34;;;;
;;;;;5;33;;;;
;;;;;6;40;;;;
;;;;;7;22;;;;
;;;;;8;40;;;;
;;;;;9;31;;;;
;;;;;10;29;;;;
185;B;HHAL;Halimium_halimifolium;487;1;31;;;;
;;;;;2;15;;;;
;;;;;3;33;;;;
;;;;;4;27;;;;
;;;;;5;28;;;;
;;;;;6;29;;;;
;;;;;7;39;;;;
;;;;;8;35;;;;
;;;;;9;35;;;;
;;;;;10;30;;;;
186;B;HHAL;Halimium_halimifolium;488;1;9;;;;
;;;;;2;10;;;;
;;;;;3;14;;;;
;;;;;4;15;;;;
;;;;;5;21;;;;
;;;;;6;20;;;;
;;;;;7;17;;;;
;;;;;8;11;;;;
;;;;;9;12;;;;
;;;;;10;15;;;;
187;B;HHAL;Halimium_halimifolium;489;1;38;;larvae (same) seeds predated;;
;;;;;2;46;;;;
;;;;;3;25;;;;
;;;;;4;39;;;;
;;;;;5;43;;;;
;;;;;6;15;;;;
;;;;;7;32;;;;
;;;;;8;20;;;;
;;;;;9;31;;;;
;;;;;10;26;;;;
188;B;HHAL;Halimium_halimifolium;490;1;44;;;;
;;;;;2;16;;;;
;;;;;3;10;;;;
;;;;;4;31;;;;
;;;;;5;49;;;;
;;;;;6;20;;;;
;;;;;7;7;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
189;B;HHAL;Halimium_halimifolium;491;1;38;;;;
;;;;;2;54;;;;
;;;;;3;40;;;;
;;;;;4;41;;;;
;;;;;5;20;;;;
;;;;;6;56;;;;
;;;;;7;39;;one fruit predated;;
;;;;;8;56;;;;
;;;;;9;26;;;;
;;;;;10;42;;;;
190;B;HHAL;Halimium_halimifolium;492;;;;;;
191;B;HHAL;Halimium_halimifolium;493;1;39;;;;
;;;;;2;48;;;;
;;;;;3;30;;;;
;;;;;4;40;;;;
;;;;;5;16;;;;
;;;;;6;15;;;;
;;;;;7;29;;;;
;;;;;8;33;;;;
;;;;;9;21;;;;
;;;;;10;35;;;;
192;B;HHAL;Halimium_halimifolium;494;1;45;;;;
;;;;;2;42;;;;
;;;;;3;7;;;;
;;;;;4;39;;;;
;;;;;5;34;;;;
;;;;;6;24;;;;
;;;;;7;29;;;;
;;;;;8;38;;;;
;;;;;9;23;;;;
;;;;;10;40;;;;
193;B;HHAL;Halimium_halimifolium;495;1;41;;;;
;;;;;2;31;;;;
;;;;;3;32;;;;
;;;;;4;24;;;;
;;;;;5;23;;;;
;;;;;6;32;;;;
;;;;;7;32;;;;
;;;;;8;29;;;;
;;;;;9;29;;;;
;;;;;10;31;;;;
194;B;HHAL;Halimium_halimifolium;496;1;34;;;;
;;;;;2;18;;;;
;;;;;3;22;;;;
;;;;;4;17;;;;
;;;;;5;10;;;;
;;;;;6;8;;;;
;;;;;7;29;;;;
;;;;;8;10;;;;
;;;;;9;26;;;;
;;;;;10;16;;;;
195;B;HHAL;Halimium_halimifolium;497;1;42;;;;
;;;;;2;24;;;;
;;;;;3;17;;;;
;;;;;4;11;;;;
;;;;;5;17;;;;
;;;;;6;8;;;;
;;;;;7;25;;;;
;;;;;8;14;;;;
;;;;;9;9;;;;
;;;;;10;7;;;;
196;B;HHAL;Halimium_halimifolium;498;1;34;;;;
;;;;;2;32;;;;
;;;;;3;37;;;;
;;;;;4;14;;;;
;;;;;5;26;;;;
;;;;;6;20;;;;
;;;;;7;34;;;;
;;;;;8;17;;;;
;;;;;9;27;;;;
;;;;;10;24;;;;
197;B;HHAL;Halimium_halimifolium;499;1;34;;;;
;;;;;2;13;;;;
;;;;;3;24;;;;
;;;;;4;14;;;;
;;;;;5;32;;;;
;;;;;6;26;;;;
;;;;;7;27;;;;
;;;;;8;14;;;;
;;;;;9;21;;;;
;;;;;10;26;;;;
198;B;HHAL;Halimium_halimifolium;500;1;20;;;;
;;;;;2;38;;;;
;;;;;3;37;;;;
;;;;;4;24;;;;
;;;;;5;45;;;;
;;;;;6;44;;;;
;;;;;7;17;;;;
;;;;;8;14;;;;
;;;;;9;13;;;;
;;;;;10;NA;;;;
199;B;TMAS;Thymus_mastichina;576;1;NA;;;;
;;;;;2;NA;;;;
;;;;;3;NA;;;;
;;;;;4;NA;;;;
;;;;;5;NA;;;;
;;;;;6;NA;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
200;B;TMAS;Thymus_mastichina;577;1;NA;;;;
;;;;;2;NA;;;;
;;;;;3;NA;;;;
;;;;;4;NA;;;;
;;;;;5;NA;;;;
;;;;;6;NA;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
201;B;TMAS;Thymus_mastichina;578;1;2;;;;
;;;;;2;2;;;;
;;;;;3;1;;;;
;;;;;4;2;;;;
;;;;;5;1;;;;
;;;;;6;1;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;1;;;;
202;B;TMAS;Thymus_mastichina;579;1;NA;;;;
;;;;;2;NA;;;;
;;;;;3;NA;;;;
;;;;;4;NA;;;;
;;;;;5;NA;;;;
;;;;;6;NA;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
203;B;TMAS;Thymus_mastichina;580;1;NA;;;;
;;;;;2;NA;;;;
;;;;;3;NA;;;;
;;;;;4;NA;;;;
;;;;;5;NA;;;;
;;;;;6;NA;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
204;B;TMAS;Thymus_mastichina;581;1;NA;;;;
;;;;;2;NA;;;;
;;;;;3;NA;;;;
;;;;;4;NA;;;;
;;;;;5;NA;;;;
;;;;;6;NA;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
205;B;TMAS;Thymus_mastichina;582;1;1;;;;
;;;;;2;1;;;;
;;;;;3;1;;;;
;;;;;4;2;;;;
;;;;;5;1;;;;
;;;;;6;1;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
206;B;TMAS;Thymus_mastichina;583;1;1;;;;
;;;;;2;NA;;;;
;;;;;3;NA;;;;
;;;;;4;NA;;;;
;;;;;5;NA;;;;
;;;;;6;NA;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
207;B;TMAS;Thymus_mastichina;584;1;1;;;;
;;;;;2;1;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;1;;;;
;;;;;6;1;;;;
;;;;;7;1;;;;
;;;;;8;1;;;;
;;;;;9;1;;;;
;;;;;10;1;;;;
208;B;TMAS;Thymus_mastichina;585;1;1;;;;
;;;;;2;2;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;1;;;;
;;;;;6;2;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
209;B;HPIC;Helichrysum_picardii;626;;;;;;
210;B;HPIC;Helichrysum_picardii;627;;;;;;
211;B;HPIC;Helichrysum_picardii;628;;;;;;
212;B;HPIC;Helichrysum_picardii;629;;;;;;
213;B;HPIC;Helichrysum_picardii;630;;;;;;
214;B;HPIC;Helichrysum_picardii;631;;;;;;
215;B;HPIC;Helichrysum_picardii;632;;;;;;
216;B;HPIC;Helichrysum_picardii;633;;;;;;
217;B;HPIC;Helichrysum_picardii;634;;;;;;
218;B;HPIC;Helichrysum_picardii;635;;;;;;
219;B;HPIC;Helichrysum_picardii;636;;;;;;
220;B;HPIC;Helichrysum_picardii;637;;;;;;
221;B;HPIC;Helichrysum_picardii;638;;;;;;
222;B;HPIC;Helichrysum_picardii;639;;;;;;
223;B;HPIC;Helichrysum_picardii;640;;;;;;
224;B;HPIC;Helichrysum_picardii;688;;;;;;
225;B;HPIC;Helichrysum_picardii;689;;;;;;
226;B;HPIC;Helichrysum_picardii;690;;;;;;
227;B;HPIC;Helichrysum_picardii;691;;;;;;
228;B;HPIC;Helichrysum_picardii;692;;;;;;
229;C;ROFF;Rosmarinus_officinalis;31;1;3;;;;
;;;;;2;3;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;4;;;;
;;;;;6;1;;;;
;;;;;7;4;;;;
;;;;;8;1;;;;
;;;;;9;2;;;;
;;;;;10;3;;;;
230;C;ROFF;Rosmarinus_officinalis;32;1;2;;;;
;;;;;2;3;;;;
;;;;;3;1;;;;
;;;;;4;2;;;;
;;;;;5;3;;;;
;;;;;6;3;;;;
;;;;;7;1;;;;
;;;;;8;2;;;;
;;;;;9;2;;;;
;;;;;10;2;;;;
231;C;ROFF;Rosmarinus_officinalis;33;1;4;;;;
;;;;;2;2;;;;
;;;;;3;1;;;;
;;;;;4;4;;;;
;;;;;5;4;;;;
;;;;;6;4;;;;
;;;;;7;3;;;;
;;;;;8;4;;;;
;;;;;9;4;;;;
;;;;;10;4;;;;
232;C;ROFF;Rosmarinus_officinalis;34;1;4;;;;
;;;;;2;4;;;;
;;;;;3;3;;;;
;;;;;4;3;;;;
;;;;;5;3;;;;
;;;;;6;4;;;;
;;;;;7;2;;;;
;;;;;8;4;;;;
;;;;;9;3;;;;
;;;;;10;3;;;;
233;C;ROFF;Rosmarinus_officinalis;35;1;4;;;;
;;;;;2;4;;;;
;;;;;3;4;;;;
;;;;;4;3;;;;
;;;;;5;3;;;;
;;;;;6;2;;;;
;;;;;7;3;;;;
;;;;;8;4;;;;
;;;;;9;1;;;;
;;;;;10;1;;;;
234;C;ROFF;Rosmarinus_officinalis;36;1;3;;;;
;;;;;2;2;;;;
;;;;;3;3;;;;
;;;;;4;1;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;3;;;;
;;;;;8;2;;;;
;;;;;9;4;;;;
;;;;;10;3;;;;
235;C;ROFF;Rosmarinus_officinalis;37;1;4;;;;
;;;;;2;4;;;;
;;;;;3;2;;;;
;;;;;4;2;;;;
;;;;;5;1;;;;
;;;;;6;4;;;;
;;;;;7;3;;;;
;;;;;8;3;;;;
;;;;;9;4;;;;
;;;;;10;1;;;;
236;C;ROFF;Rosmarinus_officinalis;38;1;3;;;;
;;;;;2;2;;;;
;;;;;3;3;;;;
;;;;;4;3;;;;
;;;;;5;3;;;;
;;;;;6;1;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;2;;;;
;;;;;10;3;;;;
237;C;ROFF;Rosmarinus_officinalis;39;1;2;;;;
;;;;;2;1;;;;
;;;;;3;3;;;;
;;;;;4;1;;;;
;;;;;5;1;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;2;;;;
;;;;;10;1;;;;
238;C;ROFF;Rosmarinus_officinalis;40;1;4;;;;
;;;;;2;3;;;;
;;;;;3;3;;;;
;;;;;4;3;;;;
;;;;;5;0;;;;
;;;;;6;2;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
239;C;ROFF;Rosmarinus_officinalis;41;1;3;;;;
;;;;;2;4;;;;
;;;;;3;2;;;;
;;;;;4;4;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;3;;;;
;;;;;8;3;;;;
;;;;;9;1;;;;
;;;;;10;2;;;;
240;C;ROFF;Rosmarinus_officinalis;42;1;1;;;;
;;;;;2;3;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;3;;;;
;;;;;6;3;;;;
;;;;;7;3;;;;
;;;;;8;1;;;;
;;;;;9;1;;;;
;;;;;10;3;;;;
241;C;ROFF;Rosmarinus_officinalis;43;1;4;;;;
;;;;;2;3;;;;
;;;;;3;3;;;;
;;;;;4;2;;;;
;;;;;5;0;;;;
;;;;;6;2;;;;
;;;;;7;NA;;;;
;;;;;8;NA;;;;
;;;;;9;NA;;;;
;;;;;10;NA;;;;
242;C;ROFF;Rosmarinus_officinalis;44;1;2;;;;
;;;;;2;2;;;;
;;;;;3;4;;;;
;;;;;4;3;;;;
;;;;;5;4;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;3;;;;
;;;;;10;4;;;;
243;C;ROFF;Rosmarinus_officinalis;45;1;2;;;;
;;;;;2;4;;;;
;;;;;3;3;;;;
;;;;;4;3;;;;
;;;;;5;1;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;2;;;;
;;;;;10;2;;;;
244;C;HCOM;Halimium_commutatum;136;;;;;;
245;C;HCOM;Halimium_commutatum;137;;;;;;
246;C;HCOM;Halimium_commutatum;138;;;;;;
247;C;HCOM;Halimium_commutatum;139;;;;;;
248;C;HCOM;Halimium_commutatum;140;;;;;;
249;C;HCOM;Halimium_commutatum;141;;;;;;
250;C;HCOM;Halimium_commutatum;142;;;;;;
251;C;HCOM;Halimium_commutatum;143;;;;;;
252;C;HCOM;Halimium_commutatum;144;;;;;;
253;C;HCOM;Halimium_commutatum;145;;;;;;
254;C;HCOM;Halimium_commutatum;146;;;;;;
255;C;HCOM;Halimium_commutatum;147;;;;;;
256;C;HCOM;Halimium_commutatum;148;;;;;;
257;C;HCOM;Halimium_commutatum;149;;;;;;
258;C;HCOM;Halimium_commutatum;150;;;;;;
259;C;LPED;Lavandula_pedunculata;291;1;3;;;;
;;;;;2;4;;;;
;;;;;3;4;;;;
;;;;;4;4;;;;
;;;;;5;1;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
;;;;;8;3;;;;
;;;;;9;2;;;;
;;;;;10;1;;;;
260;C;LPED;Lavandula_pedunculata;292;1;1;;;;
;;;;;2;3;;;;
;;;;;3;4;;;;
;;;;;4;2;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;1;;;;
;;;;;8;3;;;;
;;;;;9;1;;;;
;;;;;10;2;;;;
261;C;LPED;Lavandula_pedunculata;293;1;3;;;;
;;;;;2;1;;;;
;;;;;3;4;;;;
;;;;;4;1;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
;;;;;8;1;;;;
;;;;;9;1;;;;
;;;;;10;1;;;;
262;C;LPED;Lavandula_pedunculata;294;1;3;;;;
;;;;;2;2;;;;
;;;;;3;4;;;;
;;;;;4;3;;;;
;;;;;5;2;;;;
;;;;;6;2;;;;
;;;;;7;1;;;;
;;;;;8;3;;;;
;;;;;9;3;;;;
;;;;;10;2;;;;
263;C;LPED;Lavandula_pedunculata;295;1;3;;;;
;;;;;2;2;;;;
;;;;;3;4;;;;
;;;;;4;2;;;;
;;;;;5;2;;;;
;;;;;6;1;;;;
;;;;;7;1;;;;
;;;;;8;1;;;;
;;;;;9;2;;;;
;;;;;10;2;;;;
264;C;LPED;Lavandula_pedunculata;296;1;4;;;;
;;;;;2;4;;;;
;;;;;3;1;;;;
;;;;;4;4;;;;
;;;;;5;3;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
;;;;;8;4;;;;
;;;;;9;3;;;;
;;;;;10;3;;;;
265;C;LPED;Lavandula_pedunculata;297;1;1;;;;
;;;;;2;1;;;;
;;;;;3;2;;;;
;;;;;4;2;;;;
;;;;;5;2;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;3;;;;
;;;;;9;1;;;;
;;;;;10;3;;;;
266;C;LPED;Lavandula_pedunculata;298;1;2;;;;
;;;;;2;1;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;1;;;;
;;;;;6;1;;;;
;;;;;7;1;;;;
;;;;;8;1;;;;
;;;;;9;2;;;;
;;;;;10;1;;;;
267;C;LPED;Lavandula_pedunculata;299;1;2;;;;
;;;;;2;1;;;;
;;;;;3;3;;;;
;;;;;4;3;;;;
;;;;;5;4;;;;
;;;;;6;3;;;;
;;;;;7;2;;;;
;;;;;8;4;;;;
;;;;;9;4;;;;
;;;;;10;3;;;;
268;C;LPED;Lavandula_pedunculata;300;1;1;;;;
;;;;;2;2;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;2;;;;
;;;;;6;2;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;2;;;;
269;C;LPED;Lavandula_pedunculata;301;1;1;;;;
;;;;;2;3;;;;
;;;;;3;4;;;;
;;;;;4;3;;;;
;;;;;5;2;;;;
;;;;;6;3;;;;
;;;;;7;4;;;;
;;;;;8;2;;;;
;;;;;9;3;;;;
;;;;;10;4;;;;
270;C;LPED;Lavandula_pedunculata;302;1;4;;;;
;;;;;2;1;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;3;;;;
;;;;;6;1;;;;
;;;;;7;2;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;2;;;;
271;C;LPED;Lavandula_pedunculata;303;1;3;;;;
;;;;;2;2;;;;
;;;;;3;2;;;;
;;;;;4;4;;;;
;;;;;5;2;;;;
;;;;;6;1;;;;
;;;;;7;2;;;;
;;;;;8;1;;;;
;;;;;9;2;;;;
;;;;;10;2;;;;
272;C;LPED;Lavandula_pedunculata;304;1;4;;;;
;;;;;2;3;;;;
;;;;;3;1;;;;
;;;;;4;1;;;;
;;;;;5;1;;;;
;;;;;6;3;;;;
;;;;;7;1;;;;
;;;;;8;1;;;;
;;;;;9;1;;;;
;;;;;10;1;;;;
273;C;LPED;Lavandula_pedunculata;305;1;2;;;;
;;;;;2;1;;;;
;;;;;3;2;;;;
;;;;;4;3;;;;
;;;;;5;1;;;;
;;;;;6;3;;;;
;;;;;7;3;;;;
;;;;;8;2;;;;
;;;;;9;1;;;;
;;;;;10;2;;;;
274;C;SGEN;Stauracanthus_genistoides;251;;;;;;
275;C;SGEN;Stauracanthus_genistoides;252;;;;;;
276;C;SGEN;Stauracanthus_genistoides;253;;;;;;
277;C;SGEN;Stauracanthus_genistoides;254;;;;;;
278;C;SGEN;Stauracanthus_genistoides;255;;;;;;
279;C;SGEN;Stauracanthus_genistoides;256;;;;;;
280;C;SGEN;Stauracanthus_genistoides;257;;;;;;
281;C;SGEN;Stauracanthus_genistoides;258;;;;;;
282;C;SGEN;Stauracanthus_genistoides;259;;;;;;
283;C;SGEN;Stauracanthus_genistoides;260;;;;;;
284;C;AVEL;Armeria_velutina;436;;;;;;
285;C;AVEL;Armeria_velutina;437;;;;;;
286;C;CLIB;Cistus_libanotis;469;1;14;;;;
;;;;;2;17;;;;
;;;;;3;17;;;;
;;;;;4;14;;;;
;;;;;5;12;;;;
;;;;;6;6;;;;
;;;;;7;8;;;;
;;;;;8;17;;;;
;;;;;9;8;;;;
;;;;;10;5;;;;
287;C;CLIB;Cistus_libanotis;470;1;8;;;;
;;;;;2;9;;;;
;;;;;3;5;;;;
;;;;;4;4;;;;
;;;;;5;13;;;;
;;;;;6;6;;;;
;;;;;7;5;;;;
;;;;;8;12;;;;
;;;;;9;1;;;;
;;;;;10;3;;;;
288;C;HHAL;Halimium_halimifolium;501;1;49;;;;
;;;;;2;41;;;;
;;;;;3;32;;;;
;;;;;4;44;;;;
;;;;;5;45;;;;
;;;;;6;33;;;;
;;;;;7;40;;;;
;;;;;8;27;;;;
;;;;;9;30;;;;
;;;;;10;26;;;;
289;C;HHAL;Halimium_halimifolium;502;1;20;;;;
;;;;;2;28;;;;
;;;;;3;23;;;;
